MB2025_V1_00,General_Electoral_Population,Māori_Electoral_Population
0235005,117,6
0235006,27,15
0235007,144,39
0235008,159,30
0235010,72,9
0235011,42,-999
0235012,60,9
0235013,54,21
0235101,60,27
0235102,84,24
0235103,126,63
0235104,69,15
0235105,93,9
0235400,144,33
0235503,51,6
0235504,27,-999
0235505,39,9
0235506,48,-999
0235600,219,39
0235705,147,18
0235706,135,30
0235711,195,30
0235712,183,15
0235713,156,15
0235714,69,12
0235715,174,27
0235716,117,27
0235717,153,54
0235718,171,15
0235720,141,21
0235721,168,45
0235722,147,21
0235723,87,-999
0235724,129,9
0235725,57,6
0235726,60,24
0235727,57,12
0235728,81,-999
0235801,57,-999
0235802,84,18
0235803,120,18
0235903,234,48
0235904,141,27
0235905,144,18
0235906,132,24
0235907,78,6
0235908,117,12
0236001,105,30
0236002,120,24
0236003,114,54
0236004,138,24
0236005,204,15
0236006,54,9
0236101,99,6
0236102,78,18
0236104,36,12
0236202,27,-999
0236301,15,-999
0236500,192,51
0236605,126,-999
0236606,150,-999
0236607,249,15
0236608,84,9
0236610,81,-999
0236611,99,6
0236612,108,6
0236613,99,12
0236614,60,-999
0236703,165,9
0236704,120,9
0236707,51,-999
0236708,72,-999
0236709,105,9
0236710,87,6
0236711,45,-999
0236712,159,-999
0236713,108,-999
0236714,27,-999
0236715,240,15
0236802,120,-999
0236804,195,-999
0236809,75,-999
0236810,108,-999
0236811,99,-999
0236812,84,-999
0236813,75,6
0236814,108,18
0236815,138,6
0236816,102,-999
0236817,57,12
0236818,84,-999
0236819,141,6
0236820,114,-999
0236821,150,6
0236822,111,6
0236823,210,-999
0236824,138,15
0236825,69,-999
0236826,93,6
0236827,126,-999
0236900,39,21
0237100,21,-999
0237208,87,15
0237303,36,-999
0237304,54,-999
0237305,63,-999
0237306,84,-999
0237307,66,6
0237402,-999,-999
0237403,69,-999
0237404,123,9
0237501,57,18
0237502,9,-999
0237600,198,27
0237700,120,21
0237800,189,15
0237902,159,9
0238101,198,9
0238103,9,-999
0238200,33,9
0238302,18,6
0238303,78,-999
0238304,45,15
0238305,219,15
0238306,150,15
0238401,81,18
0238402,141,45
0238403,99,27
0238404,156,15
0238405,51,-999
0238501,81,21
0238502,171,36
0238503,132,36
0238504,132,36
0238505,294,12
0238600,138,9
0238702,129,21
0238703,-999,-999
0238704,84,18
0238705,72,27
0238706,51,-999
0238707,72,-999
0238708,66,9
0238801,75,9
0238802,39,-999
0238803,36,-999
0238804,204,27
0238900,60,6
0239000,147,15
0239101,57,15
0239102,27,-999
0239103,60,-999
0239104,108,-999
0239200,195,39
0239400,147,12
0239501,48,12
0239504,99,12
0239505,174,24
0239506,96,6
0239507,75,12
0239508,99,24
0239509,90,-999
0239510,51,-999
0239511,30,-999
0239600,72,21
0239700,159,33
0239801,126,15
0239804,117,18
0239806,354,6
0240101,168,33
0240102,33,-999
0240200,141,51
0240301,54,6
0240302,42,6
0240303,84,6
0240304,75,6
0240305,39,-999
0240401,132,21
0240402,30,-999
0240502,129,9
0240503,156,-999
0240504,27,-999
0240505,198,6
0240601,57,6
0240602,78,6
0240603,66,9
0240604,78,6
0240800,144,21
0240900,147,24
0241000,147,27
0241100,186,6
0241200,84,27
0241300,48,12
0241400,126,24
0241500,138,45
0241600,-999,-999
0241700,72,15
0242200,177,36
0242300,159,36
0242400,105,18
0242600,177,27
0242800,-999,-999
0242900,6,-999
0243000,6,-999
0243100,-999,-999
0243200,18,-999
0243400,81,9
0243501,180,24
0243502,90,24
0243600,153,12
0243700,87,15
0243800,60,6
0243900,231,21
0244002,60,-999
0244100,216,21
0244200,324,12
0244500,234,27
0244600,27,6
0244700,135,6
0244800,108,6
0244900,120,24
0245000,174,63
0245100,192,30
0245200,156,21
0245300,168,21
0245400,255,27
0245500,126,21
0245600,120,27
0245700,165,27
0245800,159,21
0245900,222,33
0246000,198,69
0246103,12,9
0246105,93,9
0246106,72,6
0246107,147,21
0246108,177,18
0246109,45,-999
0246200,156,33
0246300,177,48
0246400,102,6
0246500,105,21
0246601,102,24
0246602,36,9
0246700,258,48
0246800,69,12
0246900,171,21
0247000,87,-999
0247100,102,15
0247200,120,9
0247300,216,30
0247400,189,42
0247500,177,15
0247600,162,21
0247700,150,51
0247800,180,15
0248000,54,24
0248100,138,18
0248200,129,30
0248300,93,18
0248400,123,12
0248500,111,15
0248600,129,12
0248700,159,24
0248800,96,36
0248900,117,24
0249001,165,48
0249004,90,-999
0249005,69,-999
0249006,90,6
0249008,84,-999
0249009,84,6
0249100,93,18
0249200,102,9
0249300,156,27
0249400,138,42
0249500,159,27
0249600,204,45
0249700,141,18
0249800,147,12
0249900,102,6
0250000,102,9
0250101,-999,-999
0250102,75,6
0250103,117,6
0250104,99,-999
0250105,45,-999
0250106,87,9
0250107,75,6
0250108,66,6
0250109,90,9
0250110,39,-999
0250200,93,18
0250300,99,15
0250400,195,21
0250500,84,21
0250600,129,33
0250700,126,27
0250800,69,-999
0250900,174,27
0251000,144,33
0251101,90,18
0251102,69,-999
0251103,102,-999
0251200,159,18
0251300,90,24
0251400,90,21
0251500,192,33
0251600,150,24
0251700,201,15
0251800,156,12
0251900,180,27
0252000,168,6
0252100,165,6
0252200,138,18
0252300,153,21
0252400,153,15
0252600,192,42
0252700,144,18
0252800,126,15
0252900,177,9
0253000,147,15
0253100,132,18
0253200,174,30
0253300,129,6
0253400,141,27
0253501,174,27
0253502,30,-999
0253600,159,12
0253700,54,-999
0253800,123,9
0253900,6,-999
0254000,120,9
0254100,132,6
0254200,177,15
0254301,126,18
0254302,54,-999
0254400,159,21
0254500,156,18
0254600,177,9
0254700,132,12
0254800,114,6
0254900,132,9
0255000,186,6
0255100,165,9
0255200,159,21
0255300,159,21
0255400,111,-999
0255600,180,12
0255701,78,-999
0255702,99,9
0255800,147,21
0255900,78,12
0256000,87,-999
0256100,153,9
0256200,165,18
0256300,171,15
0256400,168,9
0256500,186,15
0256600,147,15
0256700,108,15
0256801,39,-999
0256802,99,9
0256900,180,9
0257001,90,12
0257002,39,6
0257003,99,12
0257004,36,-999
0257100,129,24
0257201,87,9
0257202,36,-999
0257203,-999,-999
0257601,93,15
0257602,45,-999
0257701,69,-999
0257702,180,15
0257800,147,15
0257900,186,30
0258001,123,21
0258100,195,15
0258300,123,12
0258400,135,-999
0258500,159,15
0258600,207,18
0258700,162,15
0258801,162,12
0258802,42,-999
0258901,54,-999
0258902,87,12
0259000,120,18
0259100,195,27
0259200,147,21
0259300,186,9
0259401,57,12
0259402,57,6
0259403,69,12
0259404,75,6
0259501,78,-999
0259601,66,9
0259602,48,6
0259700,117,9
0259800,96,15
0259900,168,21
0260000,138,12
0260100,114,15
0260500,96,15
0260600,93,9
0260700,90,-999
0260800,111,-999
0260901,63,6
0260902,36,-999
0261000,105,6
0261100,243,9
0261201,132,9
0261202,51,-999
0261300,195,6
0261401,141,-999
0261402,177,18
0261403,90,-999
0261501,120,-999
0261502,24,-999
0261503,123,9
0261504,48,-999
0261601,24,-999
0261602,93,15
0261603,99,12
0261700,213,15
0261801,21,-999
0261802,96,6
0261803,69,-999
0262001,180,-999
0262002,99,-999
0262003,117,18
0262201,48,-999
0262202,69,-999
0262301,69,-999
0262302,42,12
0262401,69,21
0262402,45,6
0262500,159,27
0262600,165,24
0262702,78,-999
0262703,51,6
0262704,63,-999
0262705,87,-999
0262900,138,-999
0263001,123,9
0263002,21,-999
0263100,132,6
0263200,153,18
0263301,27,6
0263302,54,-999
0263303,57,-999
0263304,117,9
0263305,42,-999
0263306,90,-999
0263400,117,15
0263500,219,21
0263600,123,-999
0263801,96,6
0263802,39,9
0264000,111,9
0264101,84,6
0264102,93,6
0264500,132,15
0264800,168,12
0264901,-999,-999
0264904,144,6
0264905,57,-999
0264906,126,-999
0264907,84,6
0264908,75,-999
0264909,48,-999
0264910,123,-999
0264911,60,-999
0264912,105,-999
0264913,99,-999
0265001,378,9
0265002,15,-999
0265003,105,-999
0265004,120,9
0265005,27,-999
0265200,-999,-999
0265500,87,15
0265700,9,-999
0265800,6,-999
0265900,33,-999
0266100,-999,-999
0266300,-999,-999
0266401,-999,-999
0266402,81,6
0266403,75,-999
0266501,-999,-999
0266502,12,-999
0266600,180,12
0266700,87,6
0266800,234,15
0266900,-999,-999
0267000,6,-999
0267100,123,9
0267300,141,6
0267400,99,12
0267500,51,-999
0267601,168,15
0267602,132,24
0267701,45,6
0267703,108,6
0267704,66,-999
0267705,57,9
0267706,54,9
0267707,63,-999
0267708,51,-999
0267901,177,9
0268100,81,15
0268300,207,21
0268400,129,18
0268500,135,9
0268700,165,21
0268800,165,6
0268900,147,6
0269000,99,15
0269101,138,12
0269102,129,9
0269300,234,-999
0269400,147,15
0269500,138,24
0269700,105,21
0269800,186,-999
0269900,183,36
0270000,144,-999
0270100,252,9
0270201,84,-999
0270202,126,9
0270300,141,24
0270400,138,6
0270500,144,15
0270600,114,21
0270700,114,15
0270800,132,9
0270900,126,12
0271000,108,15
0271100,84,21
0271200,87,21
0271300,180,18
0271400,132,39
0271500,186,21
0271600,156,24
0271700,153,15
0271800,174,15
0271900,273,27
0272001,27,6
0272002,159,27
0272100,141,21
0272200,96,21
0272300,132,18
0272401,33,12
0272402,27,-999
0272500,204,27
0272600,144,9
0272703,195,18
0272704,159,18
0272705,150,6
0272706,138,12
0272707,156,6
0272800,261,54
0272900,87,9
0273000,240,24
0273100,96,12
0273201,237,24
0273203,120,9
0273204,165,9
0273205,120,-999
0273206,78,-999
0273400,147,12
0273600,108,27
0273700,57,18
0273800,99,12
0273900,96,18
0274000,90,12
0274100,54,15
0274202,114,9
0274203,171,15
0274204,87,9
0274205,75,24
0274206,144,-999
0274300,87,15
0274401,174,6
0274402,147,9
0274502,156,6
0274503,39,-999
0274504,90,9
0274505,30,-999
0274506,39,-999
0274600,171,18
0274700,126,9
0274800,87,21
0274900,48,15
0275101,120,6
0275102,75,-999
0275200,117,9
0275301,36,-999
0275302,63,6
0275400,120,9
0275500,108,15
0275601,96,-999
0275602,45,-999
0275603,66,12
0275700,141,6
0275800,93,6
0275900,159,30
0276002,132,6
0276003,111,-999
0276004,60,6
0276005,96,-999
0276006,48,-999
0276007,93,12
0276101,21,-999
0276102,51,6
0276201,27,12
0276202,48,9
0276300,138,21
0276500,153,18
0276601,72,6
0276602,192,12
0276603,180,27
0276700,66,-999
0276800,144,30
0276900,138,33
0277000,33,6
0277200,165,15
0277301,189,30
0277302,147,36
0277600,204,27
0277701,138,27
0277703,102,6
0277704,201,18
0277802,102,12
0277901,165,9
0277902,-999,-999
0278003,123,12
0278005,180,27
0278006,72,9
0278007,177,24
0278008,195,18
0278009,153,30
0278102,216,27
0278104,87,6
0278106,114,6
0278107,99,-999
0278108,105,27
0278109,114,27
0278201,168,27
0278203,51,18
0278204,75,21
0278205,48,9
0278206,105,24
0278208,72,6
0278209,69,-999
0278210,63,-999
0278211,57,9
0278212,87,9
0278213,93,6
0278301,84,-999
0278302,57,6
0278303,63,18
0278304,99,6
0278403,222,42
0278406,66,9
0278407,123,-999
0278408,81,9
0278409,93,9
0278410,18,-999
0278411,81,-999
0278412,87,9
0278502,174,48
0278504,216,15
0278505,180,24
0278506,126,24
0278509,51,-999
0278510,159,39
0278511,177,18
0278512,78,-999
0278514,231,39
0278515,24,12
0278516,84,6
0278517,111,6
0278601,84,21
0278602,27,-999
0278603,81,9
0278701,69,-999
0278702,66,-999
0278800,6,-999
0278902,162,15
0278903,51,6
0278904,60,6
0278905,12,6
0278906,99,9
0279000,78,6
0279101,177,21
0279201,180,12
0279400,84,9
0279600,132,15
0279800,72,9
0279900,171,12
0280000,78,6
0280101,138,9
0280102,162,9
0280103,84,21
0280301,108,15
0280303,30,-999
0280304,18,-999
0280402,237,24
0280500,198,9
0280600,165,24
0280701,147,-999
0280703,171,18
0280705,153,27
0280706,132,6
0280707,180,18
0280708,186,36
0280709,195,-999
0280710,204,18
0280712,75,-999
0280713,105,9
0280714,72,9
0280715,72,6
0280716,78,-999
0280802,117,6
0280803,66,-999
0280804,93,6
0280806,84,12
0280807,93,-999
0280808,111,6
0280809,33,-999
0280810,153,15
0280811,42,6
0280812,69,-999
0280904,156,33
0280906,87,18
0280907,117,15
0280908,30,15
0281000,84,-999
0281101,78,6
0281102,63,6
0281103,150,18
0281201,39,6
0281202,69,-999
0281300,240,9
0281401,192,42
0281403,165,33
0281502,204,36
0281510,129,18
0281511,114,39
0281512,93,6
0281514,42,-999
0281515,186,12
0281516,123,-999
0281517,60,-999
0281518,129,15
0281519,81,39
0281520,93,9
0281602,102,6
0281902,102,9
0281903,42,-999
0281904,69,-999
0281905,75,24
0282008,36,-999
0282009,30,6
0282012,15,-999
0282013,45,-999
0282014,45,6
0282015,66,6
0282016,51,9
0282017,66,12
0282018,69,-999
0282019,48,-999
0282020,18,-999
0282022,102,9
0282023,45,-999
0282024,78,9
0282025,81,15
0282026,87,-999
0282101,39,-999
0282102,72,6
0282103,63,-999
0282200,-999,-999
0282301,-999,-999
0282500,36,-999
0282601,30,12
0282602,51,6
0282603,45,-999
0282604,24,6
0282605,36,6
0282606,51,6
0282701,45,-999
0282702,42,-999
0282703,51,-999
0282704,69,-999
0282807,195,33
0282808,270,12
0282809,147,9
0282810,57,9
0282811,84,9
0282812,120,15
0282813,75,9
0282814,60,15
0282815,54,15
0282816,60,-999
0282817,33,9
0282818,84,-999
0282819,51,21
0282820,45,-999
0282821,87,12
0282822,51,-999
0282823,69,-999
0282824,45,15
0282825,72,-999
0283001,180,21
0283002,195,6
0283200,165,21
0283301,45,-999
0283302,57,6
0283303,54,-999
0283304,66,-999
0283305,69,-999
0283306,48,12
0283307,54,-999
0283400,45,12
0283602,153,12
0283700,144,30
0283800,207,18
0283901,120,24
0283902,183,33
0284101,63,6
0284102,75,9
0284103,57,9
0284104,69,6
0284200,132,-999
0284301,93,-999
0284302,54,9
0284303,39,9
0284304,102,9
0284305,60,9
0284400,165,12
0284500,123,6
0284600,198,18
0284702,213,12
0284800,162,-999
0284900,165,18
0285001,39,-999
0285002,87,18
0285003,84,-999
0285004,99,-999
0285005,57,6
0285201,15,6
0285202,36,-999
0285302,78,-999
0285303,9,-999
0285304,51,-999
0285401,57,12
0285402,102,-999
0285403,99,-999
0285701,189,15
0285703,120,9
0285900,123,6
0286000,273,39
0286100,168,12
0286300,120,12
0286400,123,12
0286500,108,15
0286701,48,6
0286702,39,-999
0286703,78,6
0286704,57,-999
0286705,51,6
0286801,81,9
0286802,186,21
0286803,120,6
0287000,138,24
0287101,48,-999
0287102,105,-999
0287200,156,12
0287300,141,18
0287400,195,9
0287500,84,9
0287600,138,15
0287700,87,12
0287803,186,21
0287804,108,6
0287805,96,9
0287806,39,-999
0287900,153,9
0288000,159,12
0288100,132,-999
0288201,75,-999
0288202,87,12
0288301,225,15
0288302,30,-999
0288401,36,-999
0288402,72,-999
0288500,84,-999
0288600,99,-999
0288700,102,12
0288800,135,6
0288900,150,9
0289000,150,21
0289100,195,9
0289200,-999,-999
0289300,-999,-999
0289500,99,6
0289601,60,-999
0289602,84,-999
0289700,96,6
0289800,147,12
0289901,72,-999
0289902,63,-999
0290001,84,-999
0290002,75,-999
0290003,54,-999
0290100,147,6
0290200,150,18
0290300,63,-999
0290401,66,6
0290402,84,18
0290501,99,6
0290502,66,9
0290601,66,-999
0290602,66,-999
0290603,45,6
0290701,72,15
0290702,150,-999
0290703,129,9
0290800,447,-999
0290900,213,-999
0291000,165,6
0291101,159,12
0291102,9,-999
0291201,105,6
0291202,54,6
0291203,102,-999
0291301,36,-999
0291302,72,18
0291303,114,-999
0291304,117,-999
0291400,90,-999
0291500,186,24
0291600,132,6
0291700,117,-999
0291800,78,9
0291900,99,-999
0292001,54,9
0292002,60,-999
0292003,54,-999
0292004,36,9
0292005,54,6
0292101,51,9
0292102,63,-999
0292103,69,6
0292104,39,9
0292200,165,6
0292300,189,15
0292401,126,12
0292402,135,12
0292403,132,6
0292600,147,6
0292700,162,6
0292800,90,-999
0292900,63,-999
0293001,219,6
0293002,132,-999
0293100,204,18
0293200,69,6
0293301,150,-999
0293302,33,-999
0293401,90,-999
0293402,42,-999
0293501,72,9
0293502,219,6
0293503,45,-999
0293600,126,6
0293701,84,-999
0293702,39,-999
0293703,15,-999
0293801,165,9
0293900,87,9
0294001,141,15
0294002,39,6
0294101,72,-999
0294102,120,6
0294200,57,-999
0294300,57,9
0294401,123,6
0294402,90,12
0294501,78,6
0294502,63,6
0294503,57,6
0294504,63,9
0294505,93,12
0294600,147,6
0294701,60,-999
0294702,69,9
0294801,51,6
0294802,54,-999
0294900,126,-999
0295001,21,-999
0295002,123,-999
0295100,18,-999
0295200,99,6
0295300,45,15
0295401,30,-999
0295402,57,-999
0295500,129,6
0295600,114,6
0295700,117,-999
0295900,105,-999
0296000,93,-999
0296100,45,-999
0296200,138,6
0296300,21,-999
0296400,180,-999
0296500,165,6
0296600,66,-999
0296700,69,-999
0296800,204,-999
0296900,33,-999
0297000,108,-999
0297100,147,6
0297200,78,-999
0297301,33,-999
0297302,45,-999
0297400,27,-999
0297501,102,9
0297502,21,-999
0297600,63,-999
0297700,96,-999
0297900,117,-999
0298100,120,9
0298200,198,24
0298301,45,9
0298302,57,9
0298303,69,9
0298304,51,-999
0298400,192,12
0298501,87,6
0298502,81,-999
0298503,78,6
0298504,66,-999
0298600,132,15
0298701,51,-999
0298702,63,-999
0298801,147,6
0298802,72,-999
0298803,45,12
0298903,132,12
0298904,81,-999
0299000,18,-999
0299101,27,-999
0299102,105,-999
0299200,156,6
0299300,12,-999
0299402,213,30
0299404,54,-999
0299405,210,15
0299406,33,-999
0299407,54,-999
0299500,135,-999
0299600,87,12
0299700,87,-999
0299900,78,9
0300001,87,9
0300002,54,-999
0300100,78,6
0300200,72,-999
0300300,180,-999
0300400,120,-999
0300501,99,6
0300502,114,-999
0300503,66,-999
0300600,129,-999
0300701,171,9
0300702,153,9
0300800,54,-999
0300900,24,-999
0301000,84,-999
0301100,135,-999
0301200,123,-999
0301300,108,6
0301400,195,21
0301500,180,18
0301600,114,-999
0301800,-999,-999
0301901,153,-999
0301902,105,9
0301903,108,-999
0302001,75,-999
0302002,63,-999
0302003,45,6
0302004,87,-999
0302101,24,-999
0302102,30,-999
0302103,48,-999
0302104,42,-999
0302105,33,-999
0302203,54,6
0302204,54,6
0302205,57,9
0302206,48,-999
0302207,36,9
0302208,54,6
0302300,90,-999
0302401,45,6
0302402,33,-999
0302403,57,6
0302501,153,9
0302502,69,-999
0302504,60,-999
0302505,57,-999
0302506,69,-999
0302601,96,6
0302602,48,-999
0302701,51,-999
0302702,30,-999
0302703,63,-999
0302704,48,-999
0302705,45,-999
0302706,39,-999
0302801,57,-999
0302802,48,-999
0302803,48,9
0303001,-999,-999
0303002,66,6
0303101,150,-999
0303102,168,-999
0303204,93,21
0303205,78,9
0303300,-999,-999
0303501,-999,-999
0303502,159,6
0304000,-999,-999
0304200,-999,-999
0304400,-999,-999
0304500,51,-999
0304600,120,-999
0304700,51,-999
0304800,99,-999
0304900,108,-999
0305202,-999,-999
0305300,183,-999
0305400,165,-999
0305900,51,-999
0306000,189,9
0306200,54,-999
0306300,141,-999
0306400,99,-999
0306500,216,-999
0306600,105,-999
0306800,150,6
0306900,207,-999
0307000,129,-999
0307100,126,-999
0307200,108,-999
0307500,36,-999
0307600,129,6
0307700,72,-999
0307900,120,-999
0308000,156,6
0308100,138,-999
0308401,120,-999
0308403,54,-999
0308404,18,-999
0308500,123,-999
0308601,30,-999
0308602,111,6
0308700,93,-999
0308800,84,-999
0308900,123,-999
0309000,45,-999
0309100,105,-999
0309200,111,6
0309300,93,-999
0309400,87,-999
0309501,87,-999
0309502,75,-999
0309600,105,-999
0309701,57,-999
0309702,36,-999
0309800,108,-999
0309900,60,6
0310000,138,-999
0310100,108,-999
0310300,132,-999
0310400,72,6
0310500,144,-999
0310600,132,-999
0310700,138,-999
0310900,111,-999
0311000,126,6
0311200,120,-999
0311300,186,6
0311500,156,-999
0311600,165,-999
0311700,102,-999
0311800,123,12
0311900,129,-999
0312000,138,-999
0312300,219,6
0312401,45,-999
0312402,129,-999
0312501,87,-999
0312502,141,-999
0312600,168,-999
0312701,93,-999
0312702,63,-999
0312900,96,-999
0313200,159,-999
0313300,105,-999
0313400,180,-999
0313600,45,-999
0313800,153,6
0313900,147,-999
0314001,30,-999
0314002,186,-999
0314100,150,-999
0314200,135,-999
0314300,195,-999
0314400,126,-999
0314600,180,-999
0314801,138,6
0314802,78,6
0314901,42,-999
0314902,138,-999
0314903,99,-999
0314904,84,-999
0315001,48,-999
0315002,54,-999
0315003,75,6
0315100,93,-999
0315200,84,6
0315300,102,-999
0315400,108,9
0315500,156,-999
0315600,144,6
0315700,102,6
0315800,57,-999
0316000,111,-999
0316100,66,-999
0316201,36,-999
0316202,42,-999
0316300,-999,-999
0316400,66,9
0316500,93,9
0316600,54,-999
0316700,171,6
0316800,102,-999
0316900,45,30
0317000,45,6
0317100,78,21
0317200,111,6
0317300,147,18
0317400,39,-999
0317500,69,-999
0317600,87,-999
0317700,51,-999
0317800,120,15
0317900,87,12
0318000,120,18
0318100,186,-999
0318200,135,24
0318300,78,-999
0318400,147,-999
0318500,48,-999
0318600,87,9
0318700,105,-999
0318801,6,-999
0318802,36,-999
0318900,144,15
0319000,48,-999
0319100,90,6
0319200,120,-999
0319300,174,-999
0319500,102,-999
0319600,69,-999
0319700,111,-999
0319802,57,6
0319900,222,-999
0320000,-999,-999
0320100,36,-999
0320200,-999,-999
0320300,30,-999
0320400,72,-999
0320500,159,6
0320600,90,-999
0320800,84,-999
0320900,138,-999
0321000,129,-999
0321100,102,-999
0321200,156,-999
0321300,102,-999
0321400,150,-999
0321500,21,-999
0321600,153,-999
0321700,171,-999
0321800,132,-999
0322001,60,-999
0322002,105,9
0322101,156,9
0322102,81,-999
0322200,159,-999
0322300,144,6
0322400,105,-999
0322500,141,-999
0322600,114,6
0322700,153,6
0322800,132,-999
0322900,93,-999
0323000,108,6
0323200,105,6
0323300,87,27
0323400,48,-999
0323600,213,12
0323700,258,-999
0323800,168,-999
0323900,87,-999
0324000,108,-999
0324100,210,-999
0324200,162,-999
0324600,111,6
0324700,81,-999
0324800,129,-999
0324901,138,12
0325200,156,12
0325402,231,-999
0325500,231,6
0325600,72,-999
0325700,75,-999
0325800,90,-999
0325900,75,-999
0326000,87,-999
0326100,84,-999
0326201,66,-999
0326202,54,-999
0326203,42,-999
0326204,45,-999
0326205,54,-999
0326300,-999,-999
0326400,-999,-999
0326500,-999,-999
0326600,108,-999
0326700,48,-999
0326801,63,-999
0326802,42,-999
0327100,12,-999
0327200,72,-999
0327300,72,-999
0327500,123,-999
0328000,78,6
0328100,72,-999
0328200,-999,-999
0328300,141,-999
0328400,42,-999
0328500,90,-999
0328600,60,-999
0328700,87,-999
0328800,96,-999
0328900,63,6
0329000,111,6
0329100,105,-999
0329200,-999,-999
0329300,63,-999
0329400,81,-999
0329500,33,6
0329600,6,-999
0329700,60,-999
0329800,48,-999
0329900,57,-999
0330000,57,-999
0330100,81,6
0330200,75,-999
0330300,96,-999
0330400,66,-999
0330500,57,-999
0330600,75,-999
0330700,120,-999
0330800,63,-999
0330900,-999,-999
0331000,-999,-999
0331100,-999,-999
0331300,54,-999
0331400,84,-999
0331500,84,-999
0331600,66,-999
0331700,66,-999
0331800,63,-999
0331900,78,-999
0332000,99,-999
0332100,138,-999
0332200,72,-999
0332300,90,-999
0332400,63,-999
0332500,108,-999
0332600,96,-999
0332700,78,12
0332800,72,6
0332900,51,-999
0333000,-999,-999
0333100,123,6
0333200,90,-999
0333300,141,6
0333400,132,-999
0333500,81,-999
0333600,129,-999
0333700,108,-999
0333800,63,6
0333900,108,9
0334000,123,6
0334100,99,-999
0334200,60,-999
0334300,96,-999
0334400,63,-999
0334500,-999,-999
0334600,78,-999
0334700,69,6
0334800,60,-999
0334900,57,-999
0335000,132,-999
0335100,69,-999
0335200,-999,-999
0335300,33,-999
0335400,240,60
0335500,-999,-999
0335600,-999,-999
0335700,126,-999
0335800,114,-999
0335900,93,6
0336000,147,6
0336100,156,6
0336200,108,-999
0336300,84,-999
0336400,171,-999
0336500,144,-999
0336600,144,6
0336700,-999,-999
0336800,-999,-999
0336900,6,-999
0337000,69,6
0337100,96,-999
0337200,93,6
0337300,6,-999
0337400,60,-999
0337500,111,-999
0337600,144,6
0337700,48,-999
0337800,-999,-999
0337901,78,6
0337902,54,6
0337903,15,-999
0337904,51,-999
0338001,57,-999
0338002,36,-999
0338003,54,-999
0338100,126,6
0338200,138,-999
0338300,93,-999
0338400,45,-999
0338500,159,12
0338600,108,6
0338700,135,9
0338801,33,-999
0338802,60,-999
0338803,87,-999
0338901,60,-999
0338902,57,-999
0338903,36,-999
0339001,57,-999
0339002,63,-999
0339100,66,-999
0339200,-999,-999
0339300,-999,-999
0339400,168,-999
0339500,105,-999
0339600,168,-999
0339700,75,9
0339800,117,-999
0339900,93,-999
0340000,93,-999
0340100,141,6
0340200,174,-999
0340300,126,12
0340400,135,-999
0340500,333,-999
0340604,-999,-999
0340605,-999,-999
0340608,-999,-999
0340609,-999,-999
0340611,48,-999
0340613,-999,-999
0340614,-999,-999
0340615,-999,-999
0340616,-999,-999
0340801,18,-999
0340802,66,12
0340900,99,9
0341001,45,-999
0341002,51,9
0341003,42,6
0341101,54,-999
0341102,45,6
0341103,78,-999
0341104,48,-999
0341200,153,6
0341300,165,6
0341400,141,18
0341600,177,-999
0341700,111,6
0341801,60,-999
0341802,57,-999
0341803,36,-999
0341804,42,-999
0341805,48,-999
0342000,126,-999
0342100,132,6
0342200,99,-999
0342300,93,12
0342400,180,-999
0342500,78,6
0342801,135,24
0342802,33,9
0342900,243,66
0343000,129,15
0343100,153,18
0343200,144,33
0343300,84,18
0343400,90,12
0343500,108,-999
0343600,93,9
0343701,54,-999
0343703,102,6
0343704,36,-999
0343705,30,12
0343801,54,-999
0343802,84,12
0343900,90,12
0344000,102,6
0344101,63,18
0344102,42,6
0344200,201,18
0344300,126,9
0344501,84,-999
0344502,39,-999
0344601,27,-999
0344602,72,15
0344701,15,-999
0344702,150,42
0344800,162,66
0344901,138,33
0344902,57,15
0345000,195,18
0345100,117,-999
0345200,144,12
0345300,204,12
0345500,69,9
0345600,81,-999
0345800,192,21
0345900,171,12
0346303,87,-999
0346304,36,-999
0346305,114,-999
0346306,90,-999
0346307,78,6
0346400,114,12
0346500,69,-999
0346600,126,-999
0346701,48,-999
0346702,6,-999
0347000,102,27
0347100,111,21
0347201,96,6
0347202,27,-999
0347300,204,27
0347400,114,18
0347500,84,9
0347600,129,6
0347700,201,6
0347800,111,27
0347900,153,9
0348100,15,-999
0348200,81,27
0348300,66,6
0348400,153,6
0348500,129,27
0348601,78,27
0348602,75,6
0348700,135,6
0348800,165,27
0348900,171,33
0349000,168,12
0349100,171,9
0349200,87,-999
0349300,156,15
0349400,120,15
0349500,120,-999
0349600,120,12
0349700,198,6
0349801,75,-999
0349901,30,-999
0349902,219,12
0349904,78,12
0349905,75,-999
0349906,51,-999
0349907,99,-999
0349908,60,-999
0350000,180,6
0350101,141,12
0350102,54,-999
0350203,66,-999
0350204,60,-999
0350205,96,-999
0350206,60,12
0350207,81,-999
0350401,60,-999
0350402,63,18
0350501,66,-999
0350502,60,6
0350503,51,-999
0350504,81,6
0350600,171,24
0350700,189,9
0350800,252,9
0350901,48,6
0350902,60,-999
0350903,57,-999
0350904,117,-999
0350905,27,-999
0351201,126,-999
0351202,63,-999
0351300,18,-999
0351401,135,-999
0351402,9,-999
0351500,-999,-999
0351700,144,-999
0351800,129,-999
0351900,138,-999
0352000,114,-999
0352100,87,9
0352200,90,-999
0352300,87,-999
0352500,141,-999
