MB2025_V1_00,General_Electoral_Population,Māori_Electoral_Population
0032600,72,39
0032700,24,9
0032800,15,-999
0032900,39,9
0033000,54,36
0033100,111,57
0033200,51,9
0033300,24,-999
0033400,42,18
0033500,15,-999
0033600,246,21
0033800,222,21
0033900,102,12
0034000,78,9
0034102,27,6
0034201,138,9
0034202,126,69
0034301,147,15
0034302,-999,-999
0034400,96,27
0034500,90,9
0034600,69,9
0034700,117,45
0034800,51,21
0034900,78,24
0035000,78,30
0035100,18,-999
0035200,111,24
0035300,24,12
0035401,-999,-999
0035402,12,12
0035501,27,30
0035502,6,-999
0035600,66,54
0035700,141,21
0035800,102,51
0035900,123,21
0036000,51,21
0036100,69,33
0036202,-999,-999
0036203,9,6
0036204,6,12
0036301,21,9
0036302,117,30
0036303,30,6
0036401,48,-999
0036402,12,-999
0036500,27,54
0036600,-999,-999
0036700,63,72
0036800,24,24
0036901,6,9
0036902,9,6
0037000,216,198
0037100,-999,-999
0037202,6,24
0037203,-999,-999
0037204,-999,-999
0037205,-999,-999
0037301,-999,-999
0037302,6,-999
0037401,60,48
0037402,45,144
0037501,39,27
0037502,6,6
0037600,30,36
0037701,12,12
0037702,6,12
0037802,81,153
0037803,30,48
0037804,21,9
0037805,15,-999
0037806,-999,-999
0037807,33,24
0037901,9,33
0037902,-999,-999
0038001,12,24
0038002,-999,-999
0038100,51,54
0038200,33,39
0038400,18,30
0038500,33,39
0038600,42,63
0038700,21,51
0038800,6,-999
0038900,24,21
0039000,33,75
0039100,24,9
0039200,18,21
0039300,6,9
0039400,6,-999
0039500,33,36
0039600,21,51
0039701,6,15
0039702,12,15
0039800,-999,30
0039900,42,81
0040001,6,-999
0040002,-999,24
0040100,15,33
0040200,18,63
0040300,9,27
0040400,15,12
0040501,15,57
0040502,-999,-999
0040601,15,9
0040602,-999,-999
0040701,63,102
0040702,18,30
0040703,42,96
0040801,39,57
0040802,9,48
0040900,42,66
0041000,33,48
0041200,108,129
0041300,105,114
0041401,18,39
0041402,39,102
0041403,57,90
0041500,18,27
0041600,27,45
0041700,63,93
0041800,66,81
0041900,42,72
0042001,27,69
0042002,21,87
0042101,21,51
0042102,27,54
0042103,27,45
0042300,51,147
0042400,48,45
0042500,57,63
0042600,27,24
0042700,42,51
0042800,6,-999
0042900,24,33
0043000,57,117
0043100,30,60
0043200,45,105
0043300,33,45
0043400,27,45
0043500,60,84
0043600,42,33
0043700,18,-999
0043902,42,-999
0043904,231,24
0043905,195,15
0043907,165,6
0044003,204,42
0044004,99,21
0044005,147,15
0044006,120,102
0044007,12,-999
0044008,45,9
0044101,-999,-999
0044201,21,69
0044202,-999,-999
0044301,111,21
0044302,-999,-999
0044405,60,-999
0044406,126,6
0044503,18,-999
0044504,111,21
0044506,54,-999
0044507,84,-999
0044508,90,6
0044602,123,-999
0044603,48,15
0044604,63,-999
0044606,114,12
0044607,63,-999
0044608,66,-999
0044609,81,-999
0044610,9,15
0044611,-999,-999
0044701,162,24
0044703,6,-999
0044803,135,-999
0044804,63,6
0044805,21,-999
0044806,81,9
0044807,51,-999
0044808,66,-999
0044901,42,21
0044902,-999,-999
0045000,72,54
0045100,39,15
0045200,42,21
0045300,60,24
0045400,63,12
0045500,27,9
0045600,12,39
0045700,-999,12
0045800,24,21
0045901,66,9
0045902,30,-999
0046001,39,-999
0046002,18,6
0046100,27,9
0046200,12,-999
0046300,24,15
0046400,36,57
0046500,12,33
0046600,-999,-999
0046700,15,42
0046801,12,12
0046802,9,12
0046901,6,-999
0046902,-999,9
0047001,-999,-999
0047002,-999,45
0047100,-999,27
0047200,-999,24
0047301,21,60
0047302,6,-999
0047400,6,24
0047500,12,18
0047601,9,-999
0047602,6,6
0047603,45,18
0047701,57,18
0047702,9,-999
0047801,24,6
0047802,15,-999
0047901,57,9
0047902,9,-999
0048001,21,-999
0048003,-999,-999
0048004,69,9
0048101,15,-999
0048102,-999,-999
0048201,-999,-999
0048203,27,48
0048204,24,63
0048205,15,12
0048301,-999,-999
0048303,60,9
0048304,57,-999
0048403,-999,-999
0048405,-999,-999
0048406,-999,-999
0048407,6,-999
0048500,33,39
0048601,-999,-999
0048602,6,6
0048701,-999,-999
0048702,60,9
0048800,6,18
0048900,15,27
0049000,27,84
0049102,15,48
0049103,-999,-999
0049104,9,21
0049105,-999,-999
0049203,-999,-999
0049205,-999,-999
0049206,141,30
0049303,60,6
0049304,36,-999
0049305,51,-999
0049306,54,-999
0049307,51,-999
0049403,54,-999
0049404,75,-999
0049406,54,9
0049407,69,21
0049501,48,18
0049502,54,-999
0049503,72,-999
0049505,39,-999
0049506,36,-999
0049507,36,-999
0049801,213,18
0049901,222,12
0049903,30,-999
0049904,36,-999
0049905,33,6
0050002,6,6
0050003,78,6
0050004,33,9
0050201,9,-999
0050202,-999,-999
0050303,54,21
0050304,48,15
0050305,63,9
0050306,60,27
0050307,27,6
0050308,69,-999
0050309,42,18
0050310,54,9
0050311,60,-999
0050400,105,18
0050501,-999,-999
0050502,-999,-999
0050503,9,-999
0050602,-999,-999
0050603,24,6
0050604,66,-999
0050605,72,9
0050701,27,12
0050703,-999,-999
0050704,-999,-999
0050706,-999,-999
0050707,-999,-999
0050708,-999,-999
0050802,-999,-999
0050804,147,33
0050805,12,-999
0050806,21,-999
0050901,-999,-999
0050902,18,9
0051000,6,9
0051101,12,-999
0051102,6,-999
0051201,66,12
0051202,45,6
0051300,123,24
0051401,126,6
0051402,24,6
0051403,78,12
0051405,-999,-999
0051407,99,-999
0051408,111,-999
0051409,87,12
0051501,54,-999
0051502,36,6
0051504,63,-999
0051506,12,-999
0051507,36,6
0051508,-999,-999
0051601,96,30
0051602,-999,-999
0051700,60,-999
0051800,45,6
0051900,12,-999
0052001,18,12
0052002,9,48
0052100,12,9
0052200,-999,-999
0052300,39,60
0052400,6,15
0052501,-999,-999
0052502,-999,12
0052600,-999,-999
0052700,33,87
0052800,6,51
0052902,132,21
0052903,57,21
0052904,72,6
0052905,39,-999
0052906,78,15
0052907,81,-999
0053001,126,6
0053002,78,-999
0053003,69,-999
0053004,60,12
0053005,66,30
0053101,96,9
0053102,39,-999
0053200,87,21
0053301,51,12
0053403,123,27
0053404,174,-999
0053408,60,18
0053503,21,-999
0053504,27,-999
0053505,36,-999
0053506,33,9
0053507,69,-999
0053508,30,-999
0053509,51,-999
0053600,-999,-999
0053700,60,69
0053800,18,15
0053900,60,93
0054100,24,-999
0054502,48,6
0054600,87,24
0054700,75,12
0054801,99,6
0054900,24,57
0055000,15,27
0055100,21,45
0055200,36,72
0055300,15,60
0055400,27,39
0055500,33,45
0055600,36,81
0055700,36,48
0055801,33,87
0055802,24,60
0055900,39,150
0056001,18,48
0056002,21,48
0056100,30,69
0056200,-999,27
0056500,6,-999
0056600,21,-999
0056700,6,-999
0056800,12,-999
0056900,39,-999
0057100,114,12
0057202,6,-999
0057300,18,6
0057400,39,42
0057500,48,81
0057600,48,51
0057700,102,93
0057800,69,57
0057900,24,-999
0058000,18,9
0058100,48,75
0058200,39,78
0058300,45,30
0058400,39,48
0058500,54,54
0058600,15,9
0058800,36,117
0058901,15,-999
0058902,-999,-999
0059100,-999,-999
0059200,-999,-999
0059302,-999,-999
0059400,15,18
0059500,18,24
0059900,-999,-999
0060000,36,6
0060100,54,-999
0060200,66,-999
0060300,84,51
0060400,45,9
0060500,126,45
0060600,111,9
0060700,144,45
0060800,66,27
0060900,51,39
0061100,-999,-999
0061200,117,9
0061300,15,6
0061400,-999,-999
0061501,-999,-999
0061600,42,-999
0061801,78,30
0061803,84,114
0061804,63,30
0061806,45,51
0061807,96,129
0061808,48,69
0061902,126,12
0061904,117,21
0061905,90,9
0062001,-999,-999
0062102,72,9
0062105,69,-999
0062106,12,-999
0062107,108,36
0062108,111,9
0062203,78,-999
0062205,90,9
0062301,78,-999
0062303,111,9
0062304,-999,-999
0062401,87,12
0062501,66,-999
0062503,21,-999
0062505,15,9
0062506,48,42
0062507,33,6
0062702,36,-999
0062704,18,-999
0062705,-999,-999
0062800,210,18
0063100,102,75
0063200,120,87
0063300,-999,-999
0063500,123,69
0063600,78,18
0063701,108,6
0063703,78,21
0063704,99,30
0063705,81,39
0063801,156,9
0063804,150,33
0064000,150,15
0064100,9,6
0064200,27,-999
0064401,30,27
0064402,9,6
0064501,45,9
0064503,12,-999
0064504,30,-999
0064800,75,21
0064900,24,9
0065000,6,-999
0065101,-999,-999
0065102,18,-999
0065200,222,36
0065300,54,6
0065400,66,6
0065500,45,6
0065600,180,21
0065700,39,-999
0065800,72,15
0065900,6,-999
0066000,-999,-999
0066100,33,33
0066200,42,6
0066300,36,30
0066400,21,9
0066500,39,33
0066600,36,42
0066700,15,-999
0066800,42,12
0066900,18,18
0067000,-999,-999
0067100,-999,-999
0067200,-999,-999
0067300,24,6
0067400,63,6
0067500,33,6
0067600,39,6
0067700,12,-999
0067800,84,51
0067900,42,33
0068000,-999,-999
0068100,27,-999
0068200,33,111
0068300,-999,12
0068400,63,66
0068500,72,24
0068600,90,9
0068700,129,12
0068802,222,18
0068900,210,24
0069100,231,21
0069201,201,15
0069202,15,-999
0069402,9,-999
0069403,78,6
0069404,27,12
0069603,111,-999
0069604,-999,-999
0069606,15,-999
0069607,141,15
0069609,138,6
0069800,18,-999
0070001,63,18
0070002,60,24
0070003,99,6
0070201,36,-999
0070202,-999,-999
0070205,42,-999
0070206,81,6
0070207,51,-999
0070208,63,-999
0070209,66,-999
0070400,168,-999
0070501,78,-999
0070502,69,-999
0070504,54,-999
0070505,90,9
0070506,102,9
0070600,-999,-999
0070700,186,12
0070801,162,6
0070802,54,-999
0070903,69,-999
0070904,180,6
0070905,18,6
0070906,231,15
0070907,99,12
0071001,27,-999
0071002,84,12
0071003,135,12
0071004,117,12
0071005,168,9
0071006,108,6
0071007,-999,-999
0071200,123,9
0071302,9,-999
0071400,120,48
0071500,120,36
0071701,9,-999
0071901,30,-999
0071902,84,15
0072101,21,6
0072200,135,9
0072300,201,18
0072401,33,-999
0072402,-999,-999
0072403,81,12
0072404,-999,-999
0072501,-999,-999
0072502,6,-999
0072603,15,-999
0072604,36,12
0072605,57,12
0072606,75,-999
0072607,48,12
0072702,84,18
0072703,123,6
0072704,168,12
0072705,60,-999
0072706,15,-999
0072801,9,6
0072802,138,-999
0072900,66,-999
0073001,90,-999
0073002,108,9
0073003,66,-999
0073004,96,-999
0073005,111,9
0073006,-999,-999
0073101,81,-999
0073103,21,-999
0073104,12,-999
0073105,21,-999
0073200,9,-999
0073301,-999,-999
0073302,72,9
0073400,192,18
0073501,132,15
0073503,153,12
0073504,78,12
0073505,156,9
0073602,177,24
0073701,150,15
0073703,126,6
0073704,69,-999
0073705,99,6
0073706,78,6
0073802,39,6
0073803,-999,-999
0073805,27,-999
0073900,225,12
0074002,-999,-999
0074004,69,15
0074005,87,39
0074101,48,-999
0074203,108,12
0074204,99,6
0074205,120,-999
0074206,57,12
0074207,66,-999
0074208,75,9
0074209,69,9
0074210,81,-999
0074211,78,6
0074305,81,6
0074306,93,-999
0074307,57,9
0074308,72,-999
0074309,69,-999
0074310,36,6
0074311,21,6
0074312,90,12
0074400,-999,-999
0074501,-999,-999
0074502,-999,-999
0074601,87,24
0074602,21,6
0074701,-999,-999
0074702,27,24
0074703,75,9
0074704,54,18
0074801,99,-999
0074802,48,-999
0074803,99,6
0075001,138,18
0075002,18,6
0075100,144,9
0075401,87,-999
0075402,45,-999
0075403,66,-999
0075404,51,-999
0075500,57,6
0075601,117,39
0075602,69,6
0075700,12,-999
0075800,-999,-999
0075900,-999,-999
0076000,-999,-999
0076100,-999,-999
0076200,33,15
0076300,78,54
0076400,165,30
0076500,42,15
0076600,-999,-999
0076701,-999,-999
0076703,-999,-999
0076704,-999,-999
0076800,12,9
0076901,-999,-999
0076902,27,-999
0077000,132,21
0077100,72,21
0077200,60,12
0077300,21,-999
0077400,18,-999
0077500,54,6
0077600,72,36
0077700,87,12
0077800,204,12
0077901,-999,-999
0078001,72,-999
0078002,6,-999
0078100,84,9
0078200,18,6
0078302,9,-999
0078303,-999,-999
0078304,18,-999
0078305,30,9
0078401,129,36
0078402,159,36
0078403,114,18
0078502,36,12
0078503,48,-999
0078504,36,-999
0078602,30,6
0078700,162,15
0078800,90,105
0078900,105,-999
0079006,33,12
0079007,78,9
0079009,60,6
0079011,69,-999
0079012,57,-999
0079013,66,-999
0079014,57,6
0079015,69,-999
0079016,45,-999
0079017,54,-999
0079101,6,-999
0079202,87,15
0079203,18,-999
0079301,63,-999
0079302,78,9
0079303,57,15
0079305,51,-999
0079403,60,-999
0079404,45,9
0079405,78,-999
0079406,66,9
0079407,84,33
0079500,-999,-999
0079603,84,48
0079701,-999,-999
0079703,114,54
0079704,96,36
0079802,9,-999
0079805,81,6
0079806,63,6
0079807,33,-999
0079808,48,-999
0079809,24,-999
0079810,33,9
0079811,36,-999
0079812,6,6
0079813,27,6
0079814,24,6
0079815,21,-999
0079816,27,-999
0079901,-999,-999
0079903,15,-999
0079904,9,-999
0080000,87,12
0080100,81,18
0080301,141,9
0080302,42,9
0081200,162,9
0081300,129,15
0081401,54,-999
0081402,24,-999
0081403,60,-999
0081404,90,12
0081405,63,6
0081408,138,-999
0081501,21,-999
0081503,-999,-999
0081504,-999,-999
0081505,15,-999
0081506,15,-999
0081508,27,-999
0081509,24,6
0081510,18,-999
0081511,6,-999
0081512,6,-999
0081513,6,-999
0081514,39,-999
0081600,-999,-999
0081700,-999,-999
0081805,-999,-999
0081806,-999,-999
0081807,-999,-999
0081811,-999,-999
0081812,-999,-999
0081813,-999,-999
0081814,-999,-999
0081815,-999,-999
0081900,111,15
0082001,102,12
0082002,93,-999
0082100,123,12
0082200,114,-999
0082300,81,15
0082400,165,15
0082500,87,24
0082601,96,6
0082701,54,-999
0082703,165,6
0082704,156,12
0082801,18,9
0082803,36,6
0082804,51,18
0082900,12,9
0083002,132,9
0083100,57,15
0083200,159,18
0083300,129,45
0083400,63,9
0083500,138,45
0083600,81,24
0083701,36,6
0083702,63,21
0083801,24,9
0083802,30,-999
0083803,51,18
0083904,114,72
0084000,60,75
0084100,66,66
0084200,111,51
0084300,45,42
0084600,96,24
0084700,63,27
0084800,33,6
0084900,117,24
0085000,126,9
0085100,108,-999
0085200,102,12
0085300,120,18
0085400,126,9
0085501,63,-999
0085502,117,30
0085503,24,9
0085600,108,21
0085700,114,12
0085800,147,51
0086000,87,33
0086102,189,27
0086103,129,51
0086104,141,24
0086200,150,72
0086400,108,87
0086700,93,30
0086900,120,36
0087000,96,33
0087100,48,9
0087200,45,21
0087300,144,93
0087500,99,36
0087600,96,30
0087700,87,45
0087800,96,42
0087900,63,18
0088000,105,63
0088100,132,30
0088302,123,30
0088400,90,54
0088501,15,9
0088502,72,12
0088600,84,39
0088700,51,24
0088801,117,9
0088802,153,21
0088900,123,15
0089000,132,12
0089100,144,21
0089201,129,12
0089202,45,-999
0089203,69,30
0089400,102,12
0089500,96,12
0089601,27,6
0089602,45,21
0089800,66,30
0089900,93,39
0090000,39,27
0090100,69,-999
0090200,99,18
0090300,117,33
0090400,90,30
0090500,75,60
0090600,120,24
0090700,78,21
0090800,90,24
0090900,114,54
0091000,42,15
0091100,108,12
0091300,126,24
0091500,90,6
0091700,147,27
0091800,117,27
0091900,93,15
0092100,105,39
0092200,117,12
0092300,123,30
0092400,75,18
0092500,21,33
0092600,60,114
0092700,39,60
0092800,48,54
0092900,60,72
0093000,90,45
0093100,99,27
0093300,18,48
0093400,27,63
0093500,33,39
0093600,24,75
0093800,33,78
0093900,57,93
0094000,78,117
0094100,30,60
0094200,45,54
0094300,42,93
0094400,21,87
0094600,153,36
0094700,117,36
0094800,39,24
0094900,27,27
0095000,39,27
0095301,75,9
0095302,78,6
0095401,27,6
0095402,30,15
0095403,126,9
0095500,177,9
0095601,75,30
0095602,12,-999
0095700,48,-999
0095800,9,-999
0096000,123,12
0096100,114,57
0096201,-999,-999
0096202,-999,-999
0096300,27,-999
0096400,30,9
0096500,87,24
0096600,123,21
0096700,24,6
0096800,51,6
0096900,42,9
0097100,84,15
0097200,69,6
0097500,114,24
0097600,18,12
0097700,54,33
0097900,75,15
0098000,30,6
0098100,81,24
0098200,63,18
0098300,90,21
0098400,99,15
0098500,123,27
0098600,57,51
0098700,69,36
0098900,63,27
0099000,105,36
0099100,-999,-999
0099200,-999,-999
0099300,-999,-999
0099400,-999,-999
0099500,-999,-999
0099600,51,-999
0099700,9,-999
0099800,9,-999
0099903,39,-999
0100000,9,-999
0100100,-999,-999
0100200,-999,-999
0100300,15,-999
0100400,-999,-999
0100500,-999,-999
0100600,12,-999
0100700,12,-999
0100800,-999,9
0100901,18,6
0100902,69,9
0101001,48,15
0101002,21,9
0101100,36,18
0101200,114,12
0101301,48,9
0101302,30,-999
0101303,48,15
0101304,51,-999
0101401,69,12
0101402,33,6
0101501,39,-999
0101502,24,9
0101503,-999,-999
0101602,6,-999
0101801,18,6
0101802,48,9
0101803,15,9
0101900,126,18
0102100,141,36
0102201,54,6
0102203,-999,-999
0102204,138,21
0102205,66,21
0102206,90,12
0102500,42,12
0102601,12,9
0102602,51,6
0102701,54,18
0102702,168,51
0102800,90,12
0102901,60,-999
0102902,60,6
0103000,66,24
0103200,45,15
0103300,18,15
0103400,87,12
0103500,105,21
0103600,114,54
0103700,93,24
0103800,108,24
0103900,-999,-999
0104000,45,24
0104100,108,42
0104200,21,30
0104301,111,27
0104302,30,6
0104400,123,63
0104500,135,48
0104900,99,39
0105000,102,57
0105100,120,36
0105200,126,51
0105400,105,45
0105500,72,18
0105600,105,57
0105800,24,30
0105900,138,15
0106000,99,36
0106100,105,39
0106201,72,9
0106202,123,9
0106203,60,15
0106300,48,21
0106400,9,-999
0106500,153,6
0106600,132,15
0106700,153,30
0106801,93,12
0106802,123,21
0106803,57,-999
0106901,33,-999
0106902,45,-999
0106903,72,18
0107000,153,12
0107100,54,42
0107200,123,39
0107300,114,42
0107400,51,24
0107602,102,36
0107603,111,45
0107700,57,45
0107801,93,42
0107802,96,102
0107803,105,51
