origin_TA,origin_lon,origin_lat,dest_TA,population,TA_Name,lon_meshblock_pop_weighted,lat_meshblock_pop_weighted,lon_meshblock_geometric,lat_meshblock_geometric,lon_TA_geometric,lat_TA_geometric,geometry,lon_TA_geometricToweighted_delta,lat_TA_geometricToweighted_delta,lon_TA_geometricTogeometric_delta,lat_TA_geometricTogeometric_delta,TA_geometricToweighted_km,TA_geometricTogeometric_km,dest_lat,dest_lon,distance_km
001,173.69773075961487,-35.219634878451146,001,71007,Far North District,173.69773075961487,-35.219634878451146,173.7076513749719,-35.231976466585635,173.5752365033658,-35.189954123849724,"c(173.575236503366, -35.1899541238497)",-0.12249425624906962,0.029680754601422166,-0.13241487160610177,0.04202234273591188,11.621500489505353,12.919975890685814,-35.219634878451146,173.69773075961487,0
001,173.69773075961487,-35.219634878451146,002,96360,Whangarei District,174.33073175001866,-35.73061367392473,174.34199250013558,-35.73778400027105,174.25927759472643,-35.71592113553713,"c(174.259277594726, -35.7159211355371)",-0.07145415529222987,0.01469253838759954,-0.08271490540914783,0.02186286473391874,6.661527955324067,7.861192615845864,-35.73061367392473,174.33073175001866,80.79905423108843
001,173.69773075961487,-35.219634878451146,003,25638,Kaipara District,174.1881859765001,-36.047673479447276,174.17483190718517,-36.044629528422334,174.02476823176525,-35.99276037343215,"c(174.024768231765, -35.9927603734321)",-0.1634177447348577,0.05491310601512822,-0.15006367541991494,0.05186915499018596,15.93283457418484,14.693481894256989,-36.047673479447276,174.1881859765001,102.30133167044009
001,173.69773075961487,-35.219634878451146,011,31464,Thames-Coromandel District,175.67009536894204,-36.99536442007582,175.70273222471374,-36.97574552279262,175.64074941902334,-36.93149908544898,"c(175.640749419023, -36.931499085449)",-0.029345949918706538,0.06386533462683985,-0.061982805690405485,0.04424643734363798,7.573480489144299,7.393450322883422,-36.99536442007582,175.67009536894204,265.5812942159935
001,173.69773075961487,-35.219634878451146,012,21075,Hauraki District,175.67145987840237,-37.34140960422696,175.66177599307446,-37.33759190796888,175.60769372038067,-37.331277689956465,"c(175.607693720381, -37.3312776899565)",-0.06376615802170704,0.010131914270495201,-0.0540822726937904,0.006314218012413164,5.755467324894192,4.838214380050942,-37.34140960422696,175.67145987840237,295.2091908158014
001,173.69773075961487,-35.219634878451146,013,85518,Waikato District,175.1166672112379,-37.55389102868258,175.10400732906973,-37.53474267486709,175.0703264534781,-37.54081855717026,"c(175.070326453478, -37.5408185571703)",-0.04634075775982183,0.013072471512316497,-0.033680875591642234,-0.006075882303171909,4.341189161972352,3.049009575216655,-37.55389102868258,175.1166672112379,289.2823871339738
001,173.69773075961487,-35.219634878451146,015,36765,Matamata-Piako District,175.6631585879661,-37.68945222601367,175.6639303532521,-37.68530595180834,175.6634022533797,-37.66882570627363,"c(175.66340225338, -37.6688257062736)",2.43665413591998e-4,0.02062651974004126,-5.28099872411758e-4,0.016480245534708615,2.296234028660932,1.8351624796914954,-37.68945222601367,175.6631585879661,326.41441531520866
001,173.69773075961487,-35.219634878451146,016,174261,Hamilton City,175.27289401599202,-37.772929848661796,175.27253059229,-37.77371561067503,175.2676836299966,-37.77264217521568,"c(175.267683629997, -37.7726421752157)",-0.0052103859954115705,2.8767344611679846e-4,-0.004846962293385104,0.0010734354593537887,0.4595895903016265,0.44291558159063343,-37.772929848661796,175.27289401599202,317.250966038696
001,173.69773075961487,-35.219634878451146,017,58302,Waipa District,175.39029707160705,-37.94376982329626,175.3889242220361,-37.94646951993482,175.3991632704757,-37.964623983574285,"c(175.399163270476, -37.9646239835743)",0.00886619886864537,-0.020854160278027223,0.010239048439586895,-0.018154463639461937,2.448447794534904,2.2117696182676654,-37.94376982329626,175.39029707160705,338.8798756671525
001,173.69773075961487,-35.219634878451146,018,10353,Ōtorohanga District,175.23396388224162,-38.15662998868473,175.18727167065208,-38.15353628861906,175.276901934105,-38.195277718739,"c(175.276901934105, -38.195277718739)",0.04293805186338773,-0.038647730054272245,0.08963026345293201,-0.04174143011994147,5.7121110360492615,9.116748557965598,-38.15662998868473,175.23396388224162,354.5243632910572
001,173.69773075961487,-35.219634878451146,019,24921,South Waikato District,175.8279178953775,-38.15575151097956,175.83475677805765,-38.159009201266926,175.86818676290585,-38.16656787658694,"c(175.868186762906, -38.1665678765869)",0.040268867528340024,-0.010816365607375644,0.03342998484819759,-0.007558675320012753,3.72463757308793,3.044570828477838,-38.15575151097956,175.8279178953775,378.10832961245467
001,173.69773075961487,-35.219634878451146,020,9411,Waitomo District,175.1079442631348,-38.36974903518118,175.0774871410347,-38.421759076090865,175.0073451233845,-38.45423489492234,"c(175.007345123385, -38.4542348949223)",-0.10059913975030099,-0.0844858597411573,-0.07014201765019834,-0.03247581883147177,12.862756201012573,7.1045776488143755,-38.36974903518118,175.1079442631348,372.5065193765473
001,173.69773075961487,-35.219634878451146,021,39903,Taupo District,176.02057285312196,-38.71305638353958,175.9876665570026,-38.72926012630329,176.04704675821603,-38.81352109747778,"c(176.047046758216, -38.8135210974778)",0.026473905094064776,-0.10046471393820156,0.05938020121342902,-0.08426097117449416,11.41732189582771,10.70243719707956,-38.71305638353958,176.02057285312196,440.3160749903259
001,173.69773075961487,-35.219634878451146,022,55932,Western Bay of Plenty District,176.13302854574607,-37.697028095521986,176.12889000474118,-37.673548548884064,176.1607062957737,-37.77379082024468,"c(176.160706295774, -37.7737908202447)",0.027677750027635284,-0.07676272472269119,0.03181629103252703,-0.1002422713606137,8.885803370249365,11.505195410638198,-37.697028095521986,176.13302854574607,351.53240460188437
